COMP_MONITOR_TYPE_CODE,AIR_POLLUTANT_CLASS_CODE,n
FFO,MAJ,13484
FFO,MIN,4595
FFO,SMI,3444
FFO,NAP,54
FFO,OTH,33
FFO,NA,32
FFO,UNK,19
FOO,MIN,222173
FOO,MAJ,218501
FOO,SMI,190508
FOO,NAP,4914
FOO,NA,1493
FOO,UNK,1090
FOO,OTH,783
PCE,MIN,133968
PCE,MAJ,131903
PCE,SMI,92003
PCE,NAP,8833
PCE,NA,1936
PCE,UNK,1244
PCE,OTH,183
PFF,MAJ,319270
PFF,SMI,162230
PFF,MIN,142045
PFF,NA,2022
PFF,NAP,1401
PFF,OTH,871
PFF,UNK,591
PFR,MAJ,52
PFR,MIN,23
PFR,NA,12
PFR,SMI,4
POC,MAJ,639
POC,SMI,28
POC,MIN,18
POC,NA,1
POF,MAJ,3
POF,MIN,3
POF,SMI,1
POF,NA,1
POI,MIN,630
POI,MAJ,387
POI,SMI,380
POI,NAP,7
POI,NA,2
POI,OTH,1
POM,MIN,17144
POM,MAJ,11117
POM,SMI,9388
POM,NAP,5
POM,NA,3
POM,OTH,1
POR,MAJ,43022
POR,SMI,28268
POR,MIN,27402
POR,NAP,285
POR,UNK,74
POR,NA,42
POR,OTH,27
POV,MAJ,2298
POV,SMI,577
POV,MIN,573
POV,NA,2
POV,OTH,1
