begin_year,n
218,1
1940,1
1943,1
1953,1
1956,1
1959,1
1965,2
1968,2
1969,3989
1970,109
1972,1
1973,1
1975,3
1976,1
1977,14
1979,3
1980,7
1981,4
1982,9
1983,8
1984,8
1985,11
1986,22
1987,15
1988,9
1989,13
1990,28
1991,14
1992,8
1993,13
1994,27
1995,31
1996,125
1997,287
1998,147
1999,414
2000,437
2001,1304
2002,442
2003,902
2004,522
2005,4753
2006,729
2007,526
2008,778
2009,975
2010,1311
2011,2831
2012,1995
2013,2663
2014,230836
2015,47381
2016,15768
2017,15965
2018,14835
2019,11468
2020,9373
2021,8544
2022,13597
2023,13433
2024,13707
2025,24989
2026,11176
2027,13
2028,17
