settlement_year,n,pct
1972,1,0
1973,10,0
1974,32,0
1975,96,0.1
1976,101,0.1
1977,142,0.1
1978,130,0.1
1979,113,0.1
1980,86,0.1
1981,133,0.1
1982,136,0.1
1983,159,0.2
1984,263,0.2
1985,400,0.4
1986,590,0.6
1987,520,0.5
1988,742,0.7
1989,785,0.7
1990,1025,1
1991,1045,1
1992,1028,1
1993,1431,1.4
1994,1862,1.8
1995,1542,1.5
1996,1498,1.4
1997,1839,1.7
1998,2200,2.1
1999,2300,2.2
2000,2478,2.3
2001,3481,3.3
2002,3770,3.6
2003,4096,3.9
2004,3774,3.6
2005,4125,3.9
2006,3902,3.7
2007,3481,3.3
2008,3864,3.7
2009,4236,4
2010,3674,3.5
2011,3659,3.5
2012,3151,3
2013,3332,3.2
2014,3432,3.2
2015,2999,2.8
2016,3101,2.9
2017,2502,2.4
2018,2808,2.7
2019,3000,2.8
2020,2454,2.3
2021,2713,2.6
2022,3121,3
2023,2833,2.7
2024,2593,2.5
2025,2102,2
2026,725,0.7
