STATE,afs_facilities,matched_to_frs,unmatched,pct_matched,pct_unmatched
IL,20197,117,20080,0.6,99.4
NY,12379,1393,10986,11.3,88.7
NC,7807,614,7193,7.9,92.1
OH,6602,108,6494,1.6,98.4
PA,9079,3808,5271,41.9,58.1
SC,4428,62,4366,1.4,98.6
MI,3609,179,3430,5,95
KY,3617,838,2779,23.2,76.8
MT,2602,186,2416,7.1,92.9
MD,12838,10999,1839,85.7,14.3
UT,2233,460,1773,20.6,79.4
WY,2532,826,1706,32.6,67.4
MA,5250,4182,1068,79.7,20.3
WV,1021,0,1021,0,100
LA,13100,12806,294,97.8,2.2
ME,1285,1046,239,81.4,18.6
AZ,545,373,172,68.4,31.6
TN,3639,3510,129,96.5,3.5
MN,2359,2253,106,95.5,4.5
IA,5421,5337,84,98.5,1.5
IN,2099,2017,82,96.1,3.9
CT,3037,2996,41,98.6,1.4
NJ,5650,5616,34,99.4,0.6
AL,2530,2505,25,99,1
WI,830,808,22,97.3,2.7
RI,628,610,18,97.1,2.9
VT,323,306,17,94.7,5.3
TX,5539,5524,15,99.7,0.3
SD,711,697,14,98,2
FL,6533,6521,12,99.8,0.2
MS,1531,1519,12,99.2,0.8
ND,562,552,10,98.2,1.8
GA,6559,6551,8,99.9,0.1
CA,2561,2554,7,99.7,0.3
CO,26843,26837,6,100,0
MO,6583,6577,6,99.9,0.1
NM,5435,5430,5,99.9,0.1
AK,592,588,4,99.3,0.7
WA,793,790,3,99.6,0.4
ID,1457,1455,2,99.9,0.1
KS,6912,6910,2,100,0
OR,384,382,2,99.5,0.5
PR,570,568,2,99.6,0.4
AR,1958,1957,1,99.9,0.1
NH,1234,1233,1,99.9,0.1
VA,8709,8708,1,100,0
VI,111,110,1,99.1,0.9
DC,598,598,0,100,0
DE,386,386,0,100,0
GU,34,34,0,100,0
HI,193,193,0,100,0
MP,11,11,0,100,0
NE,5664,5664,0,100,0
NV,154,154,0,100,0
OK,8477,8477,0,100,0
