AIR_LCON_CODE,n,pct
NA,82220,81.3
SJV,7455,7.4
BAA,4282,4.2
SCA,1807,1.8
PAM,950,0.9
ACH,704,0.7
VCA,282,0.3
CCH,254,0.3
MDA,228,0.2
PSC,222,0.2
SAC,208,0.2
SHL,193,0.2
SWC,177,0.2
MCA,172,0.2
JFC,150,0.1
NCA,148,0.1
SDS,135,0.1
ORC,131,0.1
FCO,117,0.1
SPC,113,0.1
MEC,105,0.1
PCA,81,0.1
IMP,79,0.1
MBU,79,0.1
JEF,74,0.1
KCA,71,0.1
NCU,66,0.1
YSA,63,0.1
SBC,57,0.1
LRA,53,0.1
BUN,49,0
LIN,48,0
SLO,43,0
NDC,42,0
COA,40,0
PLK,39,0
KNX,33,0
NSI,23,0
CHC,22,0
PMC,22,0
LLC,21,0
SHA,20,0
NSO,10,0
YRC,10,0
PNC,9,0
AVA,7,0
CUS,5,0
GBU,5,0
BTT,4,0
HUN,4,0
TUC,4,0
EDC,3,0
COO,2,0
GCA,2,0
WCD,2,0
BCA,1,0
FRA,1,0
