ENF_TYPE_CODE,ENF_TYPE_DESC,n,pct
SCAAAO,Administrative Order,87461,82.8
113D1,CAA 113D1 Action For Penalty,6661,6.3
CIV,Civil Judicial Action,5300,5
113A,CAA 113A Admin Compliance Order (Non-Penalty),4766,4.5
113DWD,CAA 113D Withdrawn,591,0.6
113D1E1,CAA 113D1 Action For Penalty - 112(r) RMP Expedited Settlement Program,109,0.1
120,CAA 120 AO For Noncompliance Penalty,100,0.1
325,EPCRA 325 Action For Penalty,95,0.1
3008A,RCRA 3008A AO For Comp And/Or Penalty,65,0.1
113,CAA 113 Notice Of Violation,63,0.1
113D1E,CAA 113D1 Action For Penalty - 112(r) Expedited Settlement Program,59,0.1
311B6B2,CWA 311B6B2 AO For Class II Penalty,35,0
113D,CAA 113D Delayed Comp Ord (Old),34,0
309G2B,CWA 309G2B AO For Class II Penalties,34,0
16,TSCA 16 Action For Penalty,32,0
113D1E3,CAA 113D1 Action For Penalty - Stationary Source MRR Expedited Settlement,28,0
2051,CAA 205 Action For Vehicles and Engines,28,0
205E2,CAA 205 Action For Vehicles and Engines Defeat Device/Tampering Expedited Settlement Program,26,0
BNK,Bankruptcy,26,0
1423C1,SDWA 1423C1 AO For Penalty-Non Oil/Gas (UIC),21,0
205E,CAA 205 Action For Mobile/Title II Expedited Settlement Program,17,0
167,CAA 167 AO For PSD,14,0
109,CERCLA 109 Action For Penalty,12,0
FAD,Federal Facility Agreements,12,0
205E1,CAA 205 Action For Vehicles and Engines Imports Expedited Settlement Program,9,0
113A5A,CAA 113A5A AO For NSR,8,0
309G2A,CWA 309G2A AO For Class I Penalties,8,0
311B6B1,CWA 311B6B1 AO For Class I Penalty,8,0
205,CAA 205 Action For Mobile/Title II,7,0
309A,CWA 309A AO For Compliance,4,0
303,CAA 303 AO For Imminent Hazard,3,0
122H,CERCLA 122h Agrmt For Cost Recovery,2,0
14A,FIFRA 14A Action For Penalty,2,0
ECIMP,EPA/Customs Import Enforcement Action,2,0
PRN,Pre-Referral Negotiation,2,0
106,CERCLA 106 AO For Resp Action/Imm Haz,1,0
112R9,CAA 112R9 AO For Imm Hazard/Accdntl Release,1,0
113D1E2,CAA 113D1 Action For Penalty - 112(r) GDC Expedited Settlement Program,1,0
114,CAA 114 Information Request Letters (Old),1,0
122G1A,CERCLA 122G1A Agrmt For De Minimus Cr,1,0
13A,"FIFRA 13A AO For Stop Sale,Use,Or Removal",1,0
1414G3,SDWA 1414G3 AO For Penalties (PWS),1,0
3013,RCRA 3013(e) AO For Compliance,1,0
3013A,RCRA 3013A AO For Testing & Reporting,1,0
311B6BE,CWA 311B6B1 AO For Class I Penalty - SPCC Expedited Settlement Program,1,0
ACC,Access Order,1,0
COL,Collection Action,1,0
