STATE,CAAMACT,CAANSPS,CAANSR,CAAPSD,CAASIP,CAATVP,CAANESH,CAAFESOP
01,3.3,26.7,23.3,23.3,13.3,10,0,0
02,71.7,0.3,0.3,0.1,27.1,0,0.3,0
03,0,0,0,0,100,0,0,0
04,25.7,11.7,0.4,0.4,60.3,1.2,0,0.4
05,43.1,14.6,2.4,0.4,32.5,3.7,2,1.2
06,88,4.4,0.7,0.1,4.1,1.3,1.2,0.1
07,0,0,0,0,100,0,0,0
08,11.5,40.7,4.8,1.4,21.1,9.1,11.4,0
09,19.8,8.1,2.7,1.7,29.1,7.8,30.9,0
10,74.7,1.7,0.7,1,13.3,2.2,6.1,0.2
AK,9.9,14.2,0.6,3.9,19.6,28.6,8.1,15.2
AL,11.9,14.8,0.1,7.5,43.4,12.8,1.1,8.4
AR,19.6,25,0,1.6,44.5,7,2.2,0
AZ,10.8,24.3,1.5,5.5,32.4,17.7,1.9,5.9
CA,6.1,6.7,11.2,2.5,38.5,33.6,1,0.4
CO,7,9.6,1.5,3.2,77.4,1.2,0,0
CT,6,4.4,5.9,0.2,67.5,4,0.9,11.1
DC,35.6,2.5,0.2,0,55,6,0.1,0.6
DE,18,10.5,1,1.3,39.5,14.2,1.2,14.3
FL,6.4,11.2,0.1,1.6,51,26.4,3.3,0.1
GA,13.1,15.4,0.5,2.3,60.4,6.4,1.9,0
GU,10.8,12.3,0,9.2,38.5,27.7,1.5,0
HI,2.3,10.6,0.6,3.1,28,46,0.6,8.9
IA,14.4,14.9,0.2,1.1,64.2,4.6,0.7,0
ID,9.3,23.9,0.1,1.3,55.8,8.8,0.9,0
IL,3.3,5,0.2,0.4,84.1,4,0.3,2.6
IN,19.8,15.2,1.4,2,19.4,17.9,2.2,22.2
KS,15.4,18.1,0,0.7,61.4,4,0.3,0
KY,12.8,19.3,1.8,4.4,41.7,15.8,1.1,3.1
LA,8.6,21.2,0.8,1.2,60.9,4.3,1.8,1.2
MA,4.4,6,0.3,0.5,76.9,4.1,0.8,7.2
MD,12.1,3.5,0.1,0.2,82.7,1.4,0.1,0
ME,5.8,4.4,0.1,1.5,81.9,5.4,0.1,0.9
MI,9.2,6.5,14.6,2,33.9,16.8,0.9,16
ML,0,0,0,0,100,0,0,0
MN,3.7,4.7,25.7,1.3,37.4,4.5,0.2,22.6
MO,10.4,12.6,3.5,0.5,64.1,7.1,1,0.9
MP,25,12.5,0,0,50,12.5,0,0
MS,16.6,19.8,0,3,44.6,14.2,1.8,0
MT,20.7,18.7,1.1,5.2,30.9,20.7,2.8,0
NC,20.5,18.6,0.1,1.6,49.6,7,0.7,1.9
ND,10.9,25.9,5.6,1.9,39.8,6.9,0.6,8.4
NE,3,2.9,0.1,0.9,89.9,3.1,0.1,0
NH,1.8,23.8,0.3,0.4,69.8,3.5,0.2,0.1
NJ,6.4,8.3,0.7,0.7,75.5,7.1,1.3,0
NM,8.4,12.8,22.7,9.2,37,1.4,8.3,0.2
NN,11.1,11.1,16.7,16.7,22.2,22.2,0,0
NV,7.9,14.5,8.8,9.5,25,22.1,0.7,11.4
NY,22.1,6.4,2.8,1.4,57.1,9,0.7,0.5
OH,8.5,7.7,0.5,1.3,66.7,6.1,0.9,8.5
OK,29.2,30.6,0,0.2,38.6,1.3,0.1,0
OR,14.7,14.5,3.4,5.9,36.2,21,4.2,0.1
PA,19.4,10,0.1,0.6,61.5,6.8,1.3,0.1
PR,23.2,18.5,1.5,1.4,46.2,6.9,1.5,0.7
RI,8.8,5.6,1.1,0.7,58.2,7.7,0.9,17
SC,8.9,12.2,0,1.9,56.5,7.5,0.7,12.3
SD,9.8,15.1,0,2.4,34.3,38,0,0.3
SU,23.1,11,0,12.1,11,42.9,0,0
TN,9.1,7.6,0,2.1,63,8.3,1.1,8.7
TX,14,19.8,7.3,1.8,28.9,25.8,2.4,0
UT,12.9,17.6,0,5.2,43.8,16.7,3.8,0
VA,14.5,13.4,1.1,0.9,62.1,3.1,0.3,4.5
VI,8.3,12.2,5.8,4.5,59,7.1,3.2,0
VT,6.2,21.5,0.2,0.9,65,4.8,1.5,0
WA,14.3,25,1,4.2,27.9,14.9,2.6,10.1
WI,13.4,11.1,2.7,6.2,32,16.8,3.1,14.7
WV,12.1,33.5,0.6,1.5,41.9,9.1,1.3,0
WY,4.4,17.9,0,2.8,56.7,17.7,0.5,0
