PROGRAM_CODE,MAJ,MIN,SMI
CAASIP,89.6,90.1,94.7
CAATVP,88.4,3,13.4
CAAMACT,54.5,18.4,26.6
CAANSPS,53.7,16.5,36.3
CAAPSD,20.6,1.2,3.1
CAAGACTM,11.1,4.5,10.1
CAANESH,11.1,0.6,1.2
CAANSR,11,2.5,7.4
CAACFC,4.9,3.2,1.2
CAAAR,3.4,0,0.1
CAAFESOP,3.3,1.7,19.3
CAAPARGDC,2.6,0.1,0.4
CAAOTH,1.4,0.3,0.4
CAAGHG,1.2,0,0.3
CAANSPSM,1.1,0.9,3.7
CAAFIP,0.8,0.3,0.3
CAANAM,0.7,0.2,0.2
CAAFENF,0.6,0,0.1
CAANFRP,0.6,0.8,0.4
CAARMP,0.3,0,0.1
CAASFP,0.3,0,0
CAAHAPS,0,0,0
CAAIRM,0,0,0
CAAMRR,0,0,0
CAAMS,0,0,0
CAANAAQS,0,0,0
CAAOP,0,0,0
CAAPSDPR,0,0,0
CAASPP,0,0,0
CAATIP,0,0.1,0
