PROGRAM_CODE,AIR_POLLUTANT_CLASS_CODE,n
CAAAR,MAJ,651
CAAAR,MIN,84
CAAAR,SMI,37
CAAAR,NAP,10
CAAAR,NA,6
CAAAR,UNK,4
CAACFC,MIN,6241
CAACFC,MAJ,939
CAACFC,NAP,451
CAACFC,SMI,450
CAACFC,UNK,223
CAACFC,NA,49
CAACFC,OTH,2
CAAFENF,MAJ,118
CAAFENF,NA,70
CAAFENF,SMI,30
CAAFENF,MIN,28
CAAFESOP,SMI,7220
CAAFESOP,MIN,3241
CAAFESOP,OTH,1043
CAAFESOP,MAJ,627
CAAFESOP,NAP,346
CAAFESOP,UNK,69
CAAFESOP,NA,59
CAAFIP,MIN,642
CAAFIP,MAJ,151
CAAFIP,SMI,110
CAAFIP,NAP,3
CAAFIP,UNK,3
CAAFIP,NA,2
CAAGACTM,MIN,8900
CAAGACTM,SMI,3795
CAAGACTM,MAJ,2111
CAAGACTM,OTH,1009
CAAGACTM,NAP,247
CAAGACTM,NA,87
CAAGACTM,UNK,12
CAAGHG,MAJ,232
CAAGHG,SMI,119
CAAGHG,MIN,31
CAAGHG,NA,2
CAAGHG,NAP,1
CAAHAPS,SMI,1
CAAHAPS,NA,1
CAAIRM,SMI,1
CAAMACT,MIN,36158
CAAMACT,MAJ,10390
CAAMACT,SMI,9943
CAAMACT,NA,318
CAAMACT,NAP,280
CAAMACT,UNK,238
CAAMACT,OTH,69
CAAMRR,MAJ,2
CAAMRR,SMI,2
CAAMS,NA,84
CAAMS,MIN,15
CAAMS,SMI,10
CAAMS,UNK,3
CAANAAQS,NA,3
CAANAAQS,MIN,1
CAANAAQS,SMI,1
CAANAM,MIN,461
CAANAM,MAJ,126
CAANAM,SMI,78
CAANAM,NAP,4
CAANESH,MAJ,2122
CAANESH,UNK,1361
CAANESH,MIN,1138
CAANESH,SMI,466
CAANESH,OTH,43
CAANESH,NAP,20
CAANESH,NA,9
CAANFRP,MIN,1621
CAANFRP,SMI,136
CAANFRP,MAJ,116
CAANFRP,NAP,41
CAANFRP,UNK,39
CAANFRP,NA,3
CAANFRP,OTH,1
CAANSPS,MIN,32395
CAANSPS,SMI,13581
CAANSPS,MAJ,10248
CAANSPS,UNK,357
CAANSPS,NA,269
CAANSPS,NAP,260
CAANSPS,OTH,89
CAANSPSM,MIN,1834
CAANSPSM,SMI,1398
CAANSPSM,MAJ,207
CAANSPSM,NA,48
CAANSPSM,UNK,11
CAANSPSM,NAP,7
CAANSPSM,OTH,1
CAANSR,MIN,4947
CAANSR,SMI,2765
CAANSR,MAJ,2096
CAANSR,OTH,1035
CAANSR,UNK,488
CAANSR,NA,398
CAANSR,NAP,250
CAAOP,SMI,16
CAAOP,MIN,15
CAAOP,MAJ,4
CAAOTH,MIN,514
CAAOTH,MAJ,275
CAAOTH,SMI,141
CAAOTH,NA,30
CAAOTH,NAP,29
CAAOTH,OTH,4
CAAOTH,UNK,1
CAAPARGDC,MAJ,501
CAAPARGDC,MIN,150
CAAPARGDC,SMI,138
CAAPARGDC,NA,16
CAAPARGDC,UNK,12
CAAPARGDC,NAP,4
CAAPARGDC,OTH,1
CAAPSD,MAJ,3928
CAAPSD,MIN,2360
CAAPSD,SMI,1168
CAAPSD,NAP,26
CAAPSD,UNK,16
CAAPSD,NA,10
CAAPSD,OTH,6
CAAPSDPR,MAJ,1
CAARMP,MAJ,58
CAARMP,SMI,46
CAARMP,MIN,39
CAARMP,UNK,27
CAARMP,NA,4
CAARMP,NAP,1
CAASFP,MAJ,49
CAASFP,MIN,5
CAASFP,SMI,5
CAASIP,MIN,176787
CAASIP,SMI,35472
CAASIP,MAJ,17092
CAASIP,UNK,4753
CAASIP,NA,3124
CAASIP,NAP,2156
CAASIP,OTH,1131
CAASO,NAP,1
CAASO,OTH,1
CAASO,UNK,1
CAASO,NA,1
CAASPP,MIN,9
CAASPP,SMI,3
CAASPP,MAJ,2
CAASPP,OTH,1
CAATIP,MIN,187
CAATIP,MAJ,2
CAATIP,NA,2
CAATVP,MAJ,16868
CAATVP,MIN,5801
CAATVP,SMI,5013
CAATVP,UNK,754
CAATVP,NAP,237
CAATVP,NA,143
CAATVP,OTH,16
