PROGRAM_CODE,prg_status,fac_class,n
CAAMACT,CLS,MIN,1910
CAAMACT,CLS,SMI,521
CAAMACT,CLS,MAJ,361
CAAMACT,CLS,NAP,18
CAAMACT,CLS,OTH,4
CAAMACT,CLS,NA,4
CAAMACT,CLS,UNK,3
CAAMACT,CNS,MIN,12
CAAMACT,CNS,SMI,10
CAAMACT,CNS,MAJ,6
CAAMACT,OPR,MIN,28705
CAAMACT,OPR,MAJ,8252
CAAMACT,OPR,SMI,7809
CAAMACT,OPR,NA,276
CAAMACT,OPR,UNK,137
CAAMACT,OPR,NAP,46
CAAMACT,OPR,OTH,46
CAAMACT,PLN,MIN,247
CAAMACT,PLN,SMI,139
CAAMACT,PLN,MAJ,4
CAAMACT,SEA,SMI,2
CAAMACT,SEA,MIN,1
CAAMACT,TMP,MIN,33
CAAMACT,TMP,MAJ,23
CAAMACT,TMP,SMI,23
CAAMACT,TMP,NA,5
CAANESH,CLS,MAJ,419
CAANESH,CLS,MIN,250
CAANESH,CLS,SMI,187
CAANESH,CLS,NAP,1
CAANESH,CLS,UNK,1
CAANESH,CNS,MAJ,1
CAANESH,CNS,SMI,1
CAANESH,OPR,MAJ,1353
CAANESH,OPR,MIN,468
CAANESH,OPR,SMI,150
CAANESH,OPR,NA,4
CAANESH,OPR,OTH,1
CAANESH,OPR,UNK,1
CAANESH,PLN,SMI,1
CAANESH,TMP,MAJ,8
CAANESH,TMP,SMI,3
