STATE,afs_major_pct,afs_major_n,icis_major_pct,icis_major_n,pct_change
WI,58.7,487,37.9,455,-20.8
HI,83.9,162,69.8,155,-14.1
ND,15.8,89,6.5,120,-9.3
AZ,31,169,22.2,164,-8.8
MN,15.2,358,9.5,347,-5.7
GU,52.9,18,47.4,18,-5.5
NV,42.2,65,36.7,90,-5.5
UT,6.9,153,1.7,104,-5.2
OH,12,793,7.4,806,-4.6
WA,21.1,167,17,161,-4.1
CA,48.5,1241,44.7,1304,-3.8
IN,34.2,717,30.8,763,-3.4
AL,21.7,548,18.6,536,-3.1
PA,11.3,1024,8.2,934,-3.1
SD,21.7,154,19.2,145,-2.5
VT,7.7,25,5.2,19,-2.5
OK,4,340,1.7,315,-2.3
TN,12.4,453,10.2,416,-2.2
RI,10.5,66,8.4,60,-2.1
KS,6.8,467,4.8,357,-2
ME,8.1,104,6.3,89,-1.8
MS,27.8,425,26.2,443,-1.6
NJ,5.7,324,4.1,290,-1.6
NM,4.3,236,2.8,249,-1.5
AK,28.9,171,27.5,190,-1.4
NH,4.2,52,2.8,46,-1.4
AR,13.5,264,12.2,300,-1.3
VI,9,10,7.9,10,-1.1
WV,18.2,186,17.1,238,-1.1
IL,3.5,712,2.5,697,-1
MO,6.3,416,5.3,366,-1
VA,3.3,285,2.3,235,-1
DE,21,81,20.1,86,-0.9
GA,9.9,650,9,672,-0.9
NC,12.4,971,11.5,477,-0.9
ID,4.5,66,3.7,68,-0.8
IA,6,326,5.3,329,-0.7
NY,3.8,474,3.1,392,-0.7
MA,3,156,2.5,130,-0.5
NE,2.8,160,2.3,159,-0.5
PR,10.9,62,10.4,65,-0.5
CT,3,92,2.7,86,-0.3
CO,1.3,345,1.2,402,-0.1
MD,1.6,201,1.5,162,-0.1
LA,4.7,622,4.7,654,0
MP,36.4,4,36.4,4,0
FL,9.7,634,9.9,683,0.2
DC,7.7,46,8,51,0.3
MI,13.4,483,13.8,482,0.4
SC,8.1,357,9.4,322,1.3
OR,40.4,155,42.6,185,2.2
TX,26.3,1455,35,2706,8.7
WY,5.9,149,15.4,133,9.5
KY,11,399,33.7,339,22.7
MT,5.8,152,29.2,69,23.4
