SOURCE_ID,PIPELINE_FLAG,EVAL_FLAG,VIOL_FLAG,FOUND_VIOLATION,EA_FLAG,EVAL_ACTIVITY_ID,EVAL_DATE,VIOL_ACTIVITY_ID,VIOL_TYPE,VIOL_START_DATE,EA_ACTIVITY_ID,EA_TYPE,EA_DATE,EA_PENALTY_AMT
AK0000000201600008,Y,N,Y,Y,Y,-9999,NA,3601918845,FRV,09/01/2016,3600827729,Warning Letter,09/06/2016,NA
AK0000000201600008,Y,Y,Y,Y,N,-9999,02/04/2019,3602043849,FRV,10/23/2019,NA,NA,NA,NA
AK0000000201600008,Y,Y,Y,Y,N,-9999,03/20/2019,3602043852,FRV,10/24/2019,NA,NA,NA,NA
AK0000000201600008,Y,Y,Y,Y,N,-9999,04/20/2020,3602235498,FRV,07/09/2020,NA,NA,NA,NA
AK0000000201600008,Y,Y,Y,Y,N,-9999,04/13/2020,3602811250,FRV,08/25/2021,NA,NA,NA,NA
AK0000000201600008,Y,Y,Y,Y,Y,-9999,11/05/2021,3602893494,FRV,11/05/2021,3603417398,Warning Letter,05/10/2022,NA
AK0000000201600008,Y,Y,Y,Y,Y,-9999,10/07/2022,3603380783,FRV,10/07/2022,3603380754,Warning Letter,10/10/2022,NA
AK0000000201600008,Y,Y,Y,Y,Y,3603834262,12/20/2023,3603834302,FRV,12/27/2023,3603949268,Warning Letter,12/29/2023,NA
AK0000000201600008,Y,Y,Y,Y,Y,-9999,05/10/2024,3604008869,FRV,05/10/2024,3604197835,Warning Letter,05/10/2024,NA
AK0000000201600008,Y,Y,Y,Y,Y,-9999,03/07/2024,3604044748,FRV,03/07/2024,3603976185,Warning Letter,04/12/2024,NA
AK0000000201600008,Y,Y,Y,Y,Y,-9999,09/30/2024,3604204967,FRV,09/30/2024,3604197845,Warning Letter,11/25/2024,NA
AK0000000201600008,Y,Y,Y,Y,Y,-9999,02/10/2025,3604261510,FRV,02/10/2025,3604310974,Warning Letter,02/10/2025,NA
AK0000000201600008,Y,Y,Y,Y,Y,-9999,09/12/2025,3604559836,FRV,09/12/2025,3604525529,Warning Letter,09/12/2025,NA
AK0000000201600008,Y,Y,Y,Y,Y,-9999,12/15/2025,3604665706,FRV,12/15/2025,3604686197,Warning Letter,12/15/2025,NA
AK0000000201600008,Y,Y,Y,Y,Y,3604665678,11/20/2025,3604665713,FRV,12/15/2025,3604665667,Warning Letter,12/15/2025,NA
AK0000000201600008,Y,Y,Y,Y,N,3601967726,08/21/2019,991300000013,Linked to Viol. Below,NA,NA,NA,NA,NA
AK0000000201600008,Y,Y,Y,Y,N,3602043818,10/22/2019,991300000014,Linked to Viol. Below,NA,NA,NA,NA,NA
AK0000000201600008,Y,Y,Y,Y,N,3602893424,11/05/2021,991300000015,Linked to Viol. Below,NA,NA,NA,NA,NA
AK0000000201600008,Y,Y,Y,Y,N,3603380767,10/04/2022,991300000016,Linked to Viol. Below,NA,NA,NA,NA,NA
AK0000000201600008,Y,Y,Y,Y,N,3603912935,03/04/2024,991300000017,Linked to Viol. Below,NA,NA,NA,NA,NA
